"a_intercept","type","coverage","mse","bias","sd","mean_se"
-2.5,"Debiased ICE-IPCW",0.933,0.00152,-0.000483,0.039,0.038
,"Inverse Probability Weighting",,0.00152,-0.000619,0.039,
,"ICE-IPCW",,0.00143,-0.000404,0.0378,
-1.1,"Debiased ICE-IPCW",0.946,0.000505,0.000168,0.0225,0.0224
,"Inverse Probability Weighting",,0.000504,0.00013,0.0225,
,"ICE-IPCW",,0.000498,0.000128,0.0223,
-0.5,"Debiased ICE-IPCW",0.947,0.000361,0.000342,0.019,0.0191
,"Inverse Probability Weighting",,0.000361,0.000345,0.019,
,"ICE-IPCW",,0.000359,0.000324,0.0189,
0.3,"Debiased ICE-IPCW",0.951,0.000274,0.000335,0.0165,0.0166
,"Inverse Probability Weighting",,0.000274,0.000333,0.0165,
,"ICE-IPCW",,0.000273,0.000337,0.0165,
1.1,"Debiased ICE-IPCW",0.95,0.000238,0.000223,0.0154,0.0153
,"Inverse Probability Weighting",,0.000238,0.000239,0.0154,
,"ICE-IPCW",,0.000238,0.000221,0.0154,
